場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
國立臺灣師範大學校本部(和平東路1段162號) ,和平東路1段162號,63000030,25.02603,121.528283,學校、大型集會場所,大專院校,校本部體育館2樓,校本部體育館2樓體育室外
國立故宮博物院,至善路2段221號,63000110,25.10235,121.548432,大型休閒場所,博物館,國立故宮博物院研究大樓1樓大廳,國立故宮博物院右側第1棟研究大樓
國立故宮博物院,至善路2段221號,63000110,25.10235,121.548432,大型休閒場所,博物館,地下一樓醫務室醫務室,國立故宮博物院地下一樓醫務室
中國文化大學 大恩館,華岡路55號,63000110,25.136543,121.538749,學校、大型集會場所,大專院校,大孝館(體育館),中國文化大學校本部大孝館(體育館)2樓，進入體育館後右手邊方向。
福容大飯店股份有限公司台北分公司,建國南路一段266號,63000030,25.036628,121.53721,其他,其他場所,一樓大廳櫃檯前方,大廳櫃檯前方
市府轉運站,忠孝東路五段六號,63000020,25.040914,121.565136,交通要衝,轉運站,售票大廳,售票大廳
統一時代百貨台北店,忠孝東路5段8號,63000020,25.040587,121.565888,大型購物場所,百貨業,統一時代百貨台北店,一樓服務台(忠孝東路側)
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國際線2樓內候機室(東),5、6登機門間
財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店,中山北路4段1巷1號,63000040,25.078611,121.526287,旅宿場所,旅館,聯誼會游泳池,在游泳池教練室
國立臺灣大學(醫學校區),仁愛路1段1號,63000050,25.040772,121.520655,學校、大型集會場所,大專院校,醫學體育館,大門入口偏左側柱子前。
國立臺灣大學(醫學校區),仁愛路1段1號,63000050,25.040772,121.520655,學校、大型集會場所,大專院校,醫學基醫大樓,仁愛路大門入口左側，駐警室櫃台前。
國立臺灣大學(醫學校區),仁愛路1段1號,63000050,25.040772,121.520655,學校、大型集會場所,大專院校,醫學國際會議中心,基因體醫學研究中心大樓南側門入口走道上，駐警值班室前。
中國文化大學推廣教育部 大新館,延平南路127號一樓,63000050,25.038274,121.50869,學校、大型集會場所,大專院校,大新館一樓,中國文化大學推廣教育部大新館一樓處
國立臺北護理健康大學,明德路365號,63000120,25.117539,121.520679,學校、大型集會場所,大專院校,科技大樓一樓健康中心對面,置於科技大樓一樓健康中心對面
中國文化大學推廣教育部 大夏館,建國南路2段231號1樓,63000030,25.026078,121.538016,學校、大型集會場所,大專院校,六樓電梯口處,大夏館六樓電梯口處
臺北市南港運動中心,玉成街69號,63000090,25.048938,121.58184,學校、大型集會場所,健身中心,二樓健身入口處,臺北市南港運動中心二樓健身入口處
台北凱撒大飯店,忠孝西路1段38號,63000050,25.046259,121.516422,旅宿場所,飯店,飯店大廳,飯店大廳櫃檯旁
臺北表演藝術中心,劍潭路1號,63000110,25.0846148,121.5241572,大型休閒場所,演藝廳,10樓辦公區,10樓辦公區
松山文創園區,光復南路133號,63000020,25.044363,121.559901,觀光旅遊地區,文化園區,育嬰室,全家外置物櫃旁，水泥倉庫與育嬰室中間
松山文創園區,光復南路133號,63000020,25.044363,121.559901,觀光旅遊地區,文化園區,二號倉庫旁,園區二號倉庫旁
交通部民用航空局臺北國際航空站(松山機場),敦化北路340-9號,63000010,25.06369,121.552742,交通要衝,機場,國際線3樓環亞貴賓室,國際線3樓環亞貴賓室外帶區旁
中租控股股份有限公司,瑞光路362號,63000100,25.077252,121.572369,其他,其他場所,公司咖啡廳門口,放置於公司咖啡廳門口外之牆邊
寒居酒店,松江路116號,63000040,25.0518068,121.5325824,旅宿場所,飯店,健身中心,10樓
寒居酒店,松江路116號,63000040,25.0518068,121.5325824,旅宿場所,飯店,飯店大廳,1樓
臺北表演藝術中心,劍潭路1號,63000110,25.0846148,121.5241572,大型休閒場所,演藝廳,5F 大劇院門口,5F 大劇院門口
日勝生加賀屋國際溫泉飯店,光明路236號,63000120,25.135921,121.50689,大型公眾浴場或溫泉區,溫泉區,2樓手扶梯上來右側,2樓103吋電視旁
臺北表演藝術中心,劍潭路1號,63000110,25.0846148,121.5241572,大型休閒場所,演藝廳,1F大廳 服務台旁,1F大廳 服務台旁
松山文創園區,光復南路133號,63000020,25.044363,121.559901,觀光旅遊地區,文化園區,北二門,製菸工廠東向一樓，微熱山丘與垃圾廚房間
臺北表演藝術中心,劍潭路1號,63000110,25.0846148,121.5241572,大型休閒場所,演藝廳,7樓後場,7樓後場
臺北表演藝術中心,劍潭路1號,63000110,25.0846148,121.5241572,大型休閒場所,演藝廳,本館4樓藍盒子劇場,本館4樓藍盒子劇場
