場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
Curves女性專用30分鐘健身中心捷運中山店,承德路一段77-1號2樓,63000060,25.052264,121.517719,學校、大型集會場所,健身房,店內,店內靠承德路面
臺北市大同區戶政事務所,昌吉街57號三樓之1,63000060,25.06606,121.515119,其他,其他場所,大門入口明顯處,大門入口明顯處
臺北市大同區公所,昌吉街57號4樓,63000060,25.066061,121.515106,其他,其他場所,為民服務區(西側入口),臺北市大同區公所為民服務區(西側入口)
臺北市大同運動中心,大龍街51號,63000060,25.064769,121.516146,學校、大型集會場所,健身中心,B2泳池館救護站,"臺北市大同運動中心B2泳池館
救護站"
臺北市寧夏商圈發展協會,位於民生西路至南京西路間。,63000060,25.05608,121.51532,其他,其他場所,台北市寧夏夜市協會,台北市大同區寧夏路58號2樓
臺北市立明倫高級中學,承德路3段336號,63000060,25.075448,121.519905,學校、大型集會場所,高中職,1樓健康中心門口旁,"進學校大門直走靠右邊，
AED位於1樓健康中心門口旁。"
財團法人台北市文化基金會台北當代藝術館,長安西路39號,63000060,25.050725,121.518975,大型休閒場所,美術館,售票大廳處,放置於售票服務大廳
台北京站威秀影城,市民大道一段209號5F,63000060,25.049369,121.517479,大型休閒場所,電影片映演場所(戲院、電影院),5F大廳,5F大廳售票處左側
臺北市公有永樂市場(布業商場),迪化街1段21號,63000060,25.054862,121.51055,其他,其他場所,永樂市場布業商場二樓自治會辦公室,永樂市場布業商場二樓自治會辦公室外
臺北市大同區健康服務中心,昌吉街52號,63000060,25.065792,121.516316,其他,其他場所,大門入口處,大門入口處
臺北孔廟,大龍街275號,63000060,25.072762,121.516179,觀光旅遊地區,文化園區,孔廟明倫堂1樓近劇院,孔廟明倫堂1樓近劇院入口處
臺北市立啟聰學校,重慶北路3段320號,63000060,25.074684,121.513385,學校、大型集會場所,高中職,一樓健康中心,靠近運動場、操場
臺北市大同區雙蓮國民小學,錦西街51號,63000060,25.060161,121.51669,其他,其他場所,警衛室,警衛室裡面
三德觀光大飯店股份有限公司,承德路3段49號,63000060,25.064848,121.518555,旅宿場所,飯店,一樓大廳,三德大飯店一樓大廳入口右側旁
臺北轉運站,市民大道一段209號1樓,63000060,25.048786,121.518569,交通要衝,轉運站,1樓大廳,服務台旁
臺北市大同區雙蓮國民小學,錦西街51號,63000060,25.060161,121.51669,其他,其他場所,活動中心三樓,活動中心三樓與球場
臺北市大同區雙蓮國民小學,錦西街51號,63000060,25.060161,121.51669,其他,其他場所,健康中心內,第3棟1樓第1間健康中心內鐵櫃裡
臺北市私立稻江高級商業職業學校,民權西路225巷24號,63000060,25.06419,121.512032,學校、大型集會場所,高中職,警衛室,校門口警衛室裡
臺北市藝文推廣處-大稻埕戲苑,迪化街一段21號8、9樓,63000060,25.054862,121.51055,其他,其他場所,9樓劇場服務台後方,放置於本處大稻埕戲苑9樓劇場服務台後方，為室內開放空間，利於設備維護。
臺北市大龍養護中心,民族西路105號1樓,63000060,25.069011,121.516978,其他,其他場所,1樓護理站,AED位置在臺北市大龍養護中心1樓護理站處
台北市私立崇生康復之家,重慶北路2段188號3樓,63000060,25.062297,121.513358,其他,其他場所,機構活動區,"機構活動區,入門即看見"
臺北市私立靜修高級中學,寧夏路59號,63000060,25.057931,121.515496,學校、大型集會場所,高中職,警衛室,AED目前設置於警衛室
臺北市大龍老人住宅,民族西路105號4樓,63000060,25.068726,121.517358,其他,其他場所,臺北市大龍老人住宅,4樓老人住宅入口左側大廳服務台旁
台北市河濱自行車租借站大稻埕站,民生西路底，大稻埕疏散門進入，大稻埕碼頭旁。,63000060,25.056367,121.507598,其他,其他場所,大稻埕租車站貨櫃內,台北市河濱自行車租借站大稻埕站，民生西路底，大稻埕疏散門進入，大稻埕碼頭旁。
sky fitness,承德路三段9-1號,63000060,25.063301,121.518681,其他,其他場所,入口右手邊,入口處右手邊
康達盛通生活事業股份有限公司臺北重慶分公司(家樂福重慶店),重慶北路二段171號,63000060,25.059148,121.513807,大型購物場所,賣場,B1收銀線,B1收銀線結帳處
臺北市私立志仁高級中學職業進修學校,南京西路64巷17號,63000060,25.052162,121.518758,學校、大型集會場所,高中職,1樓辦公室,1樓辦公室進門右手邊
桑富士運動俱樂部,平陽街29號,63000060,25.055138,121.516998,學校、大型集會場所,健身房,一樓櫃台正前方牆面,文化京都大樓1樓右側進入桑富士 一樓櫃台正前方牆面
臺北市政府工務局衛生下水道工程處,酒泉街235號,63000060,25.0725688,121.5104486,其他,其他場所,本處一樓大廳,本處一樓大廳
臺北市政府警察局刑事警察大隊,重慶北路二段219號,63000060,25.06095826,121.5137266,公眾服務單位設施,警察分局,1樓值班台及3樓特勤中隊值班台入口,3樓特勤中隊值班台入口
臺北市政府警察局大同分局寧夏路派出所,錦西街200號,63000060,25.05222458,121.5117383,公眾服務單位設施,派出所,一樓值勤臺右斜前方,一樓寧夏路派出所值勤臺右斜前方(大門入口的左側)
臺北市政府警察局大同分局民生西路派出所,保安街47-1號,63000060,25.059224,121.512054,公眾服務單位設施,派出所,值班台左後方，受理報案區,大同分局民生所AED置放於值班台左後方，受理報案區。
臺北市政府警察局大同分局民族路派出所,重慶北路三段168號,63000060,25.068829,121.51348,公眾服務單位設施,派出所,進門右手邊角落(警報台旁),民族派出所進門右手邊角落(警報台旁)
臺北市政府警察局交通警察大隊大同分隊,昌吉街57號5樓之2,63000060,25.066061,121.515106,其他,其他場所,民眾洽公服務區,大同交通分隊民眾洽公服務區右上角落處
臺北市政府警察局大同分局延平派出所,延平北路一段86號,63000060,25.052166,121.511693,公眾服務單位設施,派出所,值班台旁,大同分局延平派出所值班台旁
臺北市政府警察局大同分局建成派出所,承德路1段80號,63000060,25.052725,121.517341,公眾服務單位設施,派出所,值班台右後側,台北市政府警察局大同分局建成派出所
臺北市政府警察局大同分局重慶北路派出所,重慶北路三段320之2號,63000060,25.075351,121.513553,公眾服務單位設施,派出所,值勤臺右側,派出所值勤臺右側
臺北市政府警察局刑事警察大隊,重慶北路二段219號,63000060,25.06095826,121.5137266,公眾服務單位設施,警察分局,1樓入口右邊,1樓入口右邊
臺北市立蘭州國民中學,大龍街187巷1號,63000060,25.069322,121.516736,其他,其他場所,本校大門口穿堂,本校大門口穿堂
中興保全股份有限公司(1樓接待大廳),鄭州路139號,63000060,25.050491,121.510105,其他,其他場所,大廳入口左側,大廳入口左側
統一健身俱樂部-市民館,重慶北路一段1-1號1樓,63000060,25.0494881,121.5139496,學校、大型集會場所,健身房,一樓櫃台旁,"統一健身俱樂部 市民館
台北市大同區重慶北路一段1-1號1樓"
欣葉國際餐飲股份有限公司新中山門市部,南京西路62號4樓,63000060,25.05275198,121.519042,其他,其他場所,臺北市大同區南京西路62號4樓,手扶梯上樓面對櫃台，於右手邊柱子
香港商世界健身事業有限公司台北寧夏分公司,寧夏路11號地下1樓,63000060,25.05471528,121.5150037,學校、大型集會場所,健身房,B1心肺區,B1心肺區通往B2樓梯口
衛生福利部國民健康署台北辦公室,塔城街36號,63000060,25.051644,121.510316,其他,其他場所,1樓梯廳北側,衛生福利部國民健康署台北辦公室-台北市大同區塔城街36號1樓梯廳北側
臺北市大同區永樂國民小學,延平北路二段266號,63000060,25.061297,121.511085,學校、大型集會場所,國小,一樓健康中心門口(靠近體育器材室),操場旁邊(感恩樓)，一樓健康中心前門右側，靠近體育器材室。
臺北市大同區蓬萊國民小學,寧夏路35號,63000060,25.056387,121.51571,其他,其他場所,臺北市大同區蓬萊國民小學太原門穿堂,太原門穿堂
臺北孔廟,大龍街275號,63000060,25.072762,121.516179,觀光旅遊地區,文化園區,孔廟東苑側門入口,孔廟東苑側門入口
臺北市大同區大同國民小學,大龍街51號健康中心,63000060,25.065022,121.516938,其他,其他場所,大同國小健康中心,"校內
向善樓
健康中心內 入口旁"
臺北市政府環境保護局環保稽查大隊,重慶北路3段347號4樓,63000060,25.0748652,121.5140597,其他,其他場所,4樓服務臺,4樓服務臺
香港商世界健身事業有限公司台北民權西分公司,民權西路136號一樓,63000060,25.062735,121.516484,學校、大型集會場所,健身房,B1入口處,B1入口樓梯旁
Curves可爾姿女性專用30分鐘環狀運動圓山花博店,承德路三段223-1號1樓,63000060,25.07012863,121.5186544,學校、大型集會場所,健身房,運動區落地窗角落,Curves圓山花博店入口左側落地窗角
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,六樓大廳,從6F電梯出來，面對西側櫃檯，AED位於右側角落
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,B3F中控室,B3 中控室
台北君品大酒店,承德路一段三號,63000060,25.049469,121.516874,旅宿場所,飯店,17樓健身房,君品酒店17樓健身房
天龍興業股份有限公司(天龍三溫暖),重慶北路一段73號9樓,63000060,25.052151,121.514191,大型公眾浴場或溫泉區,大型公眾浴場,大廳,大廳
嘉和智能科技股份有限公司 中山營業處（PULSE GYM)中山店,南京西路32號2樓,63000060,25.052635,121.519713,學校、大型集會場所,健身房,櫃台左側,放置於櫃檯入口的左手邊
臺北市大同區公所建功里里民活動場所,重慶北路一段83巷37號,63000060,25.052949,121.515472,其他,其他場所,重慶北路一段83巷37號,臺北市大同區公所建功里里民活動場所內右側
大稻埕碼頭貨櫃市集,民生西路底(5號水門-大稻埕碼頭貨櫃市集),63000060,25.0561283,121.5074276,觀光旅遊地區,地方政府主管風景區,服務台,大稻埕碼頭貨櫃市集服務台
玉泉公園游泳池,西寧北路28號B1,63000060,25.0501111,121.5074685,其他,其他場所,玉泉公園游泳池大廳,玉泉公園游泳池大廳
Circus Corner,承德路二段67號1樓,63000060,25.055749,121.518345,學校、大型集會場所,健身中心,台北市大同區承德路二段67號1樓,運動中心
第一商業銀行大稻埕分行,迪化街一段63號,63000060,25.0557807,121.5101501,其他,其他場所,一樓大廳進入後右側,一樓大廳進入後右側
臺北捷運北門站G13,塔城街10號,63000060,25.049425,121.510243,交通要衝,捷運站,北門站大廳層,北側大廳付費區詢問處對面
臺北捷運中山站G14,南京西路55號,63000060,25.052654,121.520331,交通要衝,捷運站,綠線中山站大廳層,西側大廳付費區詢問處旁
臺北捷運民權西路站O11,民權西路72號,63000060,25.062724,121.519531,交通要衝,捷運站,臺北捷運民權西路站O11主詢問處附近,中和新蘆線車站大廳，近7、8、9、10號出口
臺北捷運大橋頭站O12,民權西路223號,63000060,25.063176,121.513109,交通要衝,捷運站,臺北捷運大橋頭站O12主詢問處附近,車站大廳主詢問處旁，近1號出口
臺北捷運雙連站R12,民生西路47號,63000060,25.057779,121.520661,交通要衝,捷運站,捷運淡水信義線雙連站B1大廳層南非付費區通道,捷運淡水信義線雙連站B1大廳層南非付費區通道
臺北捷運民權西路站R13,民權西路72號R13,63000060,25.062612,121.519528,交通要衝,捷運站,捷運淡水信義線民權西路站1F大廳層C016儲藏室旁(付費區),捷運淡水信義線民權西路站1F大廳層C016儲藏室旁(付費區)
臺北捷運圓山站R14,酒泉街9之1號,63000060,25.071353,121.520118,交通要衝,捷運站,捷運淡水信義線圓山站1號出口女廁旁(付費區),捷運淡水信義線圓山站1號出口女廁旁(付費區)
