序號,行政區,醫事機構名稱,地址,電話
1,63000050,國立台灣大學醫學院附設醫院,臺北市中正區中山南路７號,(02)23123456
2,63000050,臺北市立聯合醫院（和平婦幼院區）,臺北市中正區中華路二段３３號,(02)23889595
3,63000070,西園醫院,臺北市萬華區西園路二段２７６號,(02)23076968
4,63000060,臺北市立聯合醫院（中興院區）,臺北市大同區鄭州路１４５號,(02)25523234
5,63000120,振興醫療財團法人振興醫院,臺北市北投區振興街４５號,(02)28264400
6,63000120,臺北榮民總醫院,臺北市北投區石牌路二段２０１號,(02)28712121
7,63000010,博仁綜合醫院,臺北市松山區光復北路６６號,(02)25786677
8,63000010,三軍總醫院松山分院附設民眾診療服務處,臺北市松山區健康路１３１號,(02)27642151
9,63000010,基督復臨安息日會醫療財團法人臺安醫院,臺北市松山區八德路二段４２４號,(02)27718151
10,63000020,臺北醫學大學附設醫院,臺北市信義區吳興街２５２號,(02)27372181
11,63000040,財團法人臺灣基督長老教會馬偕紀念社會事業基金會馬偕紀念醫院,臺北市中山區中山北路二段９２號,(02)25433535
12,63000080,臺北市立萬芳醫院,臺北市文山區興隆路三段１１１號,(02)29307930
13,63000090,臺北市立聯合醫院（忠孝院區）,臺北市南港區同德路８７號,(02)27861288
14,63000030,臺北市立聯合醫院（仁愛院區）,臺北市大安區仁愛路四段１０號,(02)27093600
15,63000030,國泰醫療財團法人國泰綜合醫院,臺北市大安區仁愛路四段２６６巷６號,(02)27082121
16,63000110,新光醫療財團法人新光吳火獅紀念醫院,臺北市士林區文昌路９５號,(02)28332211
17,63000110,臺北市立聯合醫院（陽明院區）,臺北市士林區雨聲街１０５號,(02)28353456
18,63000100,三軍總醫院附設民眾診療服務處,臺北市內湖區成功路二段３２５號,(02)87923311
